Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards,Fantasy_Reception_Points,Fantasy_RecivingYD_Points,Fantasy_ReceptionTD_Points,Fantasy_Standard_Reciving_Total
antonio-brown,2012,PittsburghSteelers,13,66,787,11.9,60,5,43,65.15,10,2,66,78.7,30,108.7
antonio-brown,2013,PittsburghSteelers,16,110,1499,13.6,56,8,69,62.73,23,6,110,149.9,48,197.9
antonio-brown,2014,PittsburghSteelers,16,129,1698,13.2,63,13,85,65.89,19,4,129,169.8,78,247.8
antonio-brown,2015,PittsburghSteelers,16,136,1834,13.5,59,10,84,61.76,25,8,136,183.4,60,243.4
antonio-brown,2016,PittsburghSteelers,15,106,1284,12.1,51,12,64,60.38,22,3,106,128.4,72,200.4
antonio-brown,2017,PittsburghSteelers,14,101,1533,15.2,57,9,71,70.3,27,7,101,153.3,54,207.3
antonio-brown,2018,PittsburghSteelers,15,104,1297,12.5,78,15,63,60.58,17,6,104,129.7,90,219.7
antonio-brown,2019,NewEnglandPatriots,1,4,56,14,20,1,3,75,1,0,4,5.6,6,11.6
antonio-brown,2020,TampaBayBuccaneers,8,45,483,10.7,46,4,27,60,6,1,45,48.3,24,72.3
jacoby-brissett,2016,NewEnglandPatriots,3,0,0,0,0,0,0,0,0,0,0,0,0,0
jacoby-brissett,2017,IndianapolisColts,16,0,0,0,0,0,0,0,0,0,0,0,0,0
jacoby-brissett,2018,IndianapolisColts,4,0,0,0,0,0,0,0,0,0,0,0,0,0
jacoby-brissett,2019,IndianapolisColts,15,1,2,2,2,0,0,0,0,0,1,0.2,0,0.2
jacoby-brissett,2020,IndianapolisColts,11,0,0,0,0,0,0,0,0,0,0,0,0,0
matt-breida,2017,SanFrancisco49ers,16,21,180,8.6,32,1,9,42.86,2,0,21,18,6,24
matt-breida,2018,SanFrancisco49ers,14,27,261,9.7,26,2,12,44.44,5,0,27,26.1,12,38.1
matt-breida,2019,SanFrancisco49ers,13,19,120,6.3,17,1,6,31.58,0,0,19,12,6,18
matt-breida,2020,MiamiDolphins,12,9,96,10.7,31,0,5,55.56,2,0,9,9.6,0,9.6
drew-brees,2001,SanDiegoChargers,1,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2002,SanDiegoChargers,16,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2003,SanDiegoChargers,11,1,21,21,21,1,1,100,1,0,1,2.1,6,8.1
drew-brees,2004,SanDiegoChargers,15,1,38,38,38,0,1,100,1,0,1,3.8,0,3.8
drew-brees,2005,SanDiegoChargers,16,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2006,NewOrleansSaints,16,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2007,NewOrleansSaints,16,2,10,5,8,0,0,0,0,0,2,1,0,1
drew-brees,2008,NewOrleansSaints,16,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2009,NewOrleansSaints,15,1,-4,-4,-4,0,0,0,0,0,1,-0.4,0,-0.4
drew-brees,2010,NewOrleansSaints,16,1,7,7,7,0,0,0,0,0,1,0.7,0,0.7
drew-brees,2011,NewOrleansSaints,16,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2012,NewOrleansSaints,16,0,0,0,0,0,0,0,0,0,0,0,0,0
